Model,Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC,TT (Sec),test_set
Extra Trees Classifier,0.6636,0.7362,0.7267,0.6885,0.703,0.3071,0.3115,0.122,"(2, 3, 6)"
Linear Discriminant Analysis,0.6436,0.7207,0.6733,0.7054,0.6631,0.2778,0.2954,0.038,"(2, 3, 6)"
Ada Boost Classifier,0.6318,0.6373,0.7167,0.6662,0.6774,0.2509,0.2696,0.075,"(2, 3, 6)"
K Neighbors Classifier,0.6236,0.5853,0.74,0.6477,0.683,0.2294,0.2425,0.037,"(2, 3, 6)"
Random Forest Classifier,0.6136,0.6473,0.68,0.6744,0.6463,0.2131,0.2353,0.131,"(2, 3, 6)"
Logistic Regression,0.6127,0.6912,0.6933,0.6451,0.6584,0.2048,0.2207,0.041,"(2, 3, 6)"
Gradient Boosting Classifier,0.6127,0.5495,0.6967,0.6464,0.6513,0.2075,0.2402,0.107,"(2, 3, 6)"
Decision Tree Classifier,0.6036,0.6133,0.5567,0.7417,0.5979,0.2194,0.2584,0.037,"(2, 3, 6)"
Ridge Classifier,0.6036,0.0,0.7267,0.6258,0.6575,0.1751,0.1908,0.032,"(2, 3, 6)"
Quadratic Discriminant Analysis,0.5745,0.5483,0.8367,0.5856,0.6787,0.1021,0.1161,0.036,"(2, 3, 6)"
Dummy Classifier,0.5545,0.5,1.0,0.5545,0.7123,0.0,0.0,0.037,"(2, 3, 6)"
Naive Bayes,0.5536,0.518,0.73,0.5688,0.6295,0.0644,0.0831,0.036,"(2, 3, 6)"
Light Gradient Boosting Machine,0.5436,0.544,0.6467,0.5586,0.5906,0.0538,0.0488,0.041,"(2, 3, 6)"
SVM - Linear Kernel,0.5145,0.0,0.5,0.2845,0.3623,0.0,0.0,0.035,"(2, 3, 6)"
Extra Trees Classifier,0.7522,0.8327,0.8133,0.7716,0.7792,0.5093,0.5015,0.122,"(2, 3, 9)"
Random Forest Classifier,0.7389,0.7679,0.8333,0.7442,0.7763,0.4741,0.4907,0.132,"(2, 3, 9)"
Linear Discriminant Analysis,0.7367,0.8348,0.74,0.7831,0.747,0.4788,0.4978,0.04,"(2, 3, 9)"
Gradient Boosting Classifier,0.6656,0.7652,0.8167,0.6667,0.7196,0.3263,0.3506,0.106,"(2, 3, 9)"
Ridge Classifier,0.6544,0.0,0.7,0.6845,0.6761,0.3052,0.3269,0.037,"(2, 3, 9)"
Light Gradient Boosting Machine,0.6544,0.7443,0.7567,0.6844,0.7029,0.3013,0.3001,0.042,"(2, 3, 9)"
Ada Boost Classifier,0.6422,0.6347,0.7367,0.6639,0.6822,0.2751,0.3003,0.076,"(2, 3, 9)"
Quadratic Discriminant Analysis,0.64,0.605,0.94,0.6121,0.7404,0.2204,0.2771,0.039,"(2, 3, 9)"
Logistic Regression,0.6356,0.7127,0.6667,0.6617,0.6517,0.2752,0.2763,0.045,"(2, 3, 9)"
Naive Bayes,0.6011,0.5892,0.7967,0.6154,0.6832,0.1776,0.1968,0.037,"(2, 3, 9)"
Decision Tree Classifier,0.6011,0.6,0.68,0.65,0.6457,0.1967,0.1898,0.038,"(2, 3, 9)"
Dummy Classifier,0.5478,0.5,1.0,0.5478,0.7071,0.0,0.0,0.039,"(2, 3, 9)"
SVM - Linear Kernel,0.5078,0.0,0.5,0.2792,0.3579,0.027,0.0395,0.037,"(2, 3, 9)"
K Neighbors Classifier,0.4822,0.4312,0.59,0.5267,0.552,-0.0541,-0.0598,0.038,"(2, 3, 9)"
Ridge Classifier,0.7178,0.0,0.7533,0.7656,0.7423,0.4359,0.4655,0.039,"(2, 3, 12)"
Linear Discriminant Analysis,0.7178,0.7309,0.7867,0.7104,0.7288,0.4217,0.4565,0.045,"(2, 3, 12)"
Logistic Regression,0.7089,0.7965,0.7533,0.7668,0.7398,0.4127,0.4438,0.046,"(2, 3, 12)"
Extra Trees Classifier,0.6733,0.7483,0.79,0.6949,0.7259,0.3261,0.3516,0.122,"(2, 3, 12)"
Random Forest Classifier,0.6533,0.6592,0.75,0.6692,0.6954,0.3011,0.3173,0.131,"(2, 3, 12)"
Light Gradient Boosting Machine,0.6244,0.6647,0.7,0.6721,0.6708,0.23,0.2323,0.043,"(2, 3, 12)"
Gradient Boosting Classifier,0.6111,0.6652,0.67,0.644,0.6481,0.2059,0.2119,0.107,"(2, 3, 12)"
Quadratic Discriminant Analysis,0.5611,0.5375,0.79,0.5601,0.6484,0.0811,0.1087,0.041,"(2, 3, 12)"
