Feature,Value,Model,Subject
trunk_acc_mean,0.1318845633870608,"ExtraTreesRegressor(n_jobs=-1, random_state=2024)",1
trunk_acc_med,0.11316168938148094,"ExtraTreesRegressor(n_jobs=-1, random_state=2024)",1
trunk_acc_rms,0.07457585967458842,"ExtraTreesRegressor(n_jobs=-1, random_state=2024)",1
trunk_acc_perc25,0.07096042919295195,"ExtraTreesRegressor(n_jobs=-1, random_state=2024)",1
trunk_acc_perc75,0.0479822421367614,"ExtraTreesRegressor(n_jobs=-1, random_state=2024)",1
upperarm_acc_min,0.033059542159303325,"ExtraTreesRegressor(n_jobs=-1, random_state=2024)",1
wrist_acc_med,0.0327577686573808,"ExtraTreesRegressor(n_jobs=-1, random_state=2024)",1
wrist_jerk_rms,0.02638523111484438,"ExtraTreesRegressor(n_jobs=-1, random_state=2024)",1
upperarm_acc_std,0.02367758206544788,"ExtraTreesRegressor(n_jobs=-1, random_state=2024)",1
trunk_jerk_mean,0.023283800347323833,"ExtraTreesRegressor(n_jobs=-1, random_state=2024)",1
wrist_jerk_mad,0.022784742513939787,"ExtraTreesRegressor(n_jobs=-1, random_state=2024)",1
trunk_jerk_mad,0.020912253259923165,"ExtraTreesRegressor(n_jobs=-1, random_state=2024)",1
trunk_jerk_perc75,0.02013592231178158,"ExtraTreesRegressor(n_jobs=-1, random_state=2024)",1
wrist_jerk_perc75,0.01829802634670567,"ExtraTreesRegressor(n_jobs=-1, random_state=2024)",1
upperarm_jerk_perc75,0.018023629557705517,"ExtraTreesRegressor(n_jobs=-1, random_state=2024)",1
upperarm_acc_mean,0.017435306653619222,"ExtraTreesRegressor(n_jobs=-1, random_state=2024)",1
trunk_acc_mad,0.01707988455316876,"ExtraTreesRegressor(n_jobs=-1, random_state=2024)",1
trunk_acc_std,0.016795435777149512,"ExtraTreesRegressor(n_jobs=-1, random_state=2024)",1
upperarm_jerk_mean,0.015999787294044894,"ExtraTreesRegressor(n_jobs=-1, random_state=2024)",1
upperarm_acc_med,0.015324145675612928,"ExtraTreesRegressor(n_jobs=-1, random_state=2024)",1
wrist_jerk_mean,0.014796758816924205,"ExtraTreesRegressor(n_jobs=-1, random_state=2024)",1
