Model,MAE,MSE,RMSE,R2,RMSLE,MAPE,TT (Sec),Subject
Extra Trees Regressor,0.6424,0.6475,0.7352,-1.4558,0.4144,,0.332,1
Light Gradient Boosting Machine,0.7201,0.7682,0.8183,-1.969,0.444,,0.063,1
Random Forest Regressor,0.7323,0.8319,0.8259,-1.6939,0.4537,,0.541,1
Gradient Boosting Regressor,0.7461,0.9188,0.874,-2.2048,0.4798,,0.327,1
Lasso Regression,0.8015,1.07,0.888,-1.7618,0.4931,,0.04,1
Lasso Least Angle Regression,0.8015,1.07,0.888,-1.7618,0.4931,,0.04,1
Decision Tree Regressor,0.8137,1.1467,0.9843,-3.6896,0.5429,,0.042,1
Elastic Net,0.8147,1.1007,0.9044,-1.8484,0.5016,,0.04,1
Dummy Regressor,0.8328,1.1396,0.8888,-1.6782,0.5028,,0.039,1
K Neighbors Regressor,0.8477,1.1658,0.9674,-2.4136,0.5042,,0.04,1
Linear Regression,0.8581,1.115,1.0155,-2.62,0.4978,,0.06,1
AdaBoost Regressor,0.863,1.1051,0.9486,-3.3197,0.5095,,0.176,1
Ridge Regression,0.9265,1.1988,1.0098,-2.6124,0.5229,,0.042,1
Orthogonal Matching Pursuit,0.9265,1.2859,1.0204,-2.2098,0.5522,,0.041,1
Huber Regressor,0.9594,1.3154,1.0395,-3.3172,0.5579,,0.073,1
Bayesian Ridge,0.9797,1.3638,1.0482,-3.0748,0.5475,,0.046,1
Passive Aggressive Regressor,1.1706,3.1038,1.3996,-3.8194,0.6466,,0.04,1
Least Angle Regression,3.717461748090812e+125,1.8389624875747978e+252,4.2883125907223664e+125,-1.1510542977782991e+252,56.6141,,0.066,1
Ridge Regression,1.7712,4.6249,2.0041,-8.0416,0.6485,0.5998,0.043,2
Gradient Boosting Regressor,1.7842,4.9629,2.0399,-7.9594,0.6781,0.5112,0.357,2
Bayesian Ridge,1.7973,4.7376,2.0261,-8.3987,0.6559,0.6127,0.051,2
Extra Trees Regressor,1.8325,4.91,2.0379,-9.2186,0.6847,0.5831,0.338,2
Light Gradient Boosting Machine,1.9196,5.3733,2.1773,-10.775,0.7307,0.7011,0.071,2
Lasso Least Angle Regression,1.9522,5.2629,2.1249,-11.0116,0.6994,0.6277,0.044,2
Lasso Regression,1.9522,5.2629,2.1249,-11.0115,0.6994,0.6277,0.044,2
