Feature,Value,Model,test_subjects
wrist_jerk_mad,0.028599422684020843,ExtraTreesClassifier,"(2, 3, 6)"
wrist_acc_max,0.027166312318706795,ExtraTreesClassifier,"(2, 3, 6)"
upperarm_acc_med,0.026018544419546142,ExtraTreesClassifier,"(2, 3, 6)"
wrist_jerk_std,0.02507468799578015,ExtraTreesClassifier,"(2, 3, 6)"
wrist_acc_min,0.024862723045054866,ExtraTreesClassifier,"(2, 3, 6)"
wrist_acc_rms,0.02480152213118799,ExtraTreesClassifier,"(2, 3, 6)"
upperarm_acc_min,0.023366684423687355,ExtraTreesClassifier,"(2, 3, 6)"
wrist_acc_std,0.023354568619535488,ExtraTreesClassifier,"(2, 3, 6)"
wrist_acc_mean,0.0230120175892231,ExtraTreesClassifier,"(2, 3, 6)"
trunk_acc_mad,0.021393703838018772,ExtraTreesClassifier,"(2, 3, 6)"
trunk_jerk_perc25,0.021238929626318348,ExtraTreesClassifier,"(2, 3, 6)"
upperarm_acc_rms,0.021228156633284777,ExtraTreesClassifier,"(2, 3, 6)"
wrist_acc_med,0.020942861348608968,ExtraTreesClassifier,"(2, 3, 6)"
trunk_acc_std,0.020913479310165975,ExtraTreesClassifier,"(2, 3, 6)"
trunk_acc_min,0.02065191094672461,ExtraTreesClassifier,"(2, 3, 6)"
trunk_jerk_perc75,0.020524624469220543,ExtraTreesClassifier,"(2, 3, 6)"
wrist_jerk_rms,0.020300380238640794,ExtraTreesClassifier,"(2, 3, 6)"
wrist_acc_perc75,0.020143460336425154,ExtraTreesClassifier,"(2, 3, 6)"
trunk_jerk_med,0.01955203542490019,ExtraTreesClassifier,"(2, 3, 6)"
trunk_jerk_min,0.019317893667165634,ExtraTreesClassifier,"(2, 3, 6)"
upperarm_acc_mean,0.019111046392072856,ExtraTreesClassifier,"(2, 3, 6)"
trunk_acc_max,0.01888342910192419,ExtraTreesClassifier,"(2, 3, 6)"
trunk_jerk_max,0.018006514289758455,ExtraTreesClassifier,"(2, 3, 6)"
upperarm_acc_perc75,0.01798444563960925,ExtraTreesClassifier,"(2, 3, 6)"
upperarm_acc_max,0.017972148871455124,ExtraTreesClassifier,"(2, 3, 6)"
upperarm_jerk_perc25,0.017955657218266485,ExtraTreesClassifier,"(2, 3, 6)"
wrist_acc_mad,0.01784702840956603,ExtraTreesClassifier,"(2, 3, 6)"
wrist_acc_perc25,0.01774841861063173,ExtraTreesClassifier,"(2, 3, 6)"
upperarm_jerk_rms,0.01774401157690452,ExtraTreesClassifier,"(2, 3, 6)"
trunk_acc_perc75,0.017521065471692743,ExtraTreesClassifier,"(2, 3, 6)"
trunk_jerk_mean,0.01709934348826519,ExtraTreesClassifier,"(2, 3, 6)"
trunk_acc_mean,0.016914268272617574,ExtraTreesClassifier,"(2, 3, 6)"
wrist_jerk_perc75,0.01670292320992366,ExtraTreesClassifier,"(2, 3, 6)"
wrist_jerk_min,0.016633195823672918,ExtraTreesClassifier,"(2, 3, 6)"
upperarm_jerk_med,0.01640344133230134,ExtraTreesClassifier,"(2, 3, 6)"
trunk_acc_rms,0.01635046295772041,ExtraTreesClassifier,"(2, 3, 6)"
upperarm_jerk_std,0.016185295511308522,ExtraTreesClassifier,"(2, 3, 6)"
upperarm_jerk_mean,0.016164172579466254,ExtraTreesClassifier,"(2, 3, 6)"
upperarm_acc_mad,0.015588334121716006,ExtraTreesClassifier,"(2, 3, 6)"
upperarm_jerk_mad,0.015438180733189099,ExtraTreesClassifier,"(2, 3, 6)"
trunk_jerk_rms,0.01534789406962028,ExtraTreesClassifier,"(2, 3, 6)"
wrist_jerk_max,0.015272768333191942,ExtraTreesClassifier,"(2, 3, 6)"
upperarm_acc_perc25,0.01523200837340781,ExtraTreesClassifier,"(2, 3, 6)"
trunk_jerk_std,0.015071774516384378,ExtraTreesClassifier,"(2, 3, 6)"
trunk_jerk_mad,0.01465558837839544,ExtraTreesClassifier,"(2, 3, 6)"
trunk_acc_med,0.01408479687388496,ExtraTreesClassifier,"(2, 3, 6)"
