Model,MAE,MSE,RMSE,R2,RMSLE,MAPE,TT (Sec),Training Subjects
Extra Trees Regressor,1.3605,3.5068,1.8622,0.4366,0.5135,0.4694,0.139,"(1, 2, 3)"
Light Gradient Boosting Machine,1.4838,3.9325,1.9679,0.3651,0.538,0.5364,0.082,"(1, 2, 3)"
Random Forest Regressor,1.4995,3.9809,1.9897,0.3635,0.5556,0.524,0.316,"(1, 2, 3)"
Gradient Boosting Regressor,1.5446,4.2092,2.0393,0.3298,0.5578,0.5443,0.211,"(1, 2, 3)"
Linear Regression,1.7586,5.22,2.2729,0.164,0.6193,0.6648,0.513,"(1, 2, 3)"
Ridge Regression,1.8284,5.3142,2.2971,0.1517,0.6338,0.6844,0.019,"(1, 2, 3)"
Bayesian Ridge,1.8545,5.403,2.3173,0.1388,0.6426,0.6966,0.019,"(1, 2, 3)"
AdaBoost Regressor,1.89,5.3243,2.302,0.1448,0.6669,0.7595,0.1,"(1, 2, 3)"
Huber Regressor,1.9242,5.9006,2.4213,0.062,0.6565,0.6901,0.025,"(1, 2, 3)"
Decision Tree Regressor,1.9599,8.0297,2.8121,-0.268,0.7622,0.6585,0.021,"(1, 2, 3)"
Orthogonal Matching Pursuit,1.9806,5.9163,2.4277,0.0548,0.6783,0.7694,0.018,"(1, 2, 3)"
Elastic Net,1.9885,5.9687,2.4364,0.0509,0.6756,0.7722,0.018,"(1, 2, 3)"
Lasso Regression,2.0013,6.0312,2.4486,0.042,0.6807,0.7738,0.017,"(1, 2, 3)"
Lasso Least Angle Regression,2.0013,6.0312,2.4486,0.042,0.6807,0.7738,0.017,"(1, 2, 3)"
Dummy Regressor,2.0908,6.4428,2.5306,-0.0228,0.7042,0.8329,0.018,"(1, 2, 3)"
K Neighbors Regressor,2.1016,6.9412,2.6281,-0.1126,0.7154,0.8202,0.022,"(1, 2, 3)"
Passive Aggressive Regressor,3.4736,20.8079,4.2657,-2.4543,0.9825,1.7784,0.018,"(1, 2, 3)"
Least Angle Regression,1.3864244601396119e+99,3.171125164166292e+199,1.7807653310209888e+99,-4.435312401802187e+198,25.7473,6.090676644505039e+98,0.02,"(1, 2, 3)"
Extra Trees Regressor,1.5219,4.1823,2.0366,0.425,0.5448,0.4748,0.14,"(1, 2, 4)"
Light Gradient Boosting Machine,1.6125,4.6665,2.15,0.3546,0.5685,0.5258,0.082,"(1, 2, 4)"
