Model,MAE,MSE,RMSE,R2,RMSLE,MAPE,TT (Sec),test_set
Random Forest Regressor,3.447,16.4589,4.0543,0.0739,0.3151,0.3172,0.212,"('subject_1', 'subject_10', 'subject_12')"
Light Gradient Boosting Machine,3.5309,17.9983,4.2397,-0.0139,0.3279,0.3243,0.075,"('subject_1', 'subject_10', 'subject_12')"
Extra Trees Regressor,3.5492,17.5105,4.1819,0.0136,0.3244,0.3271,0.158,"('subject_1', 'subject_10', 'subject_12')"
Gradient Boosting Regressor,3.5533,16.8317,4.1017,0.0516,0.3217,0.3306,0.135,"('subject_1', 'subject_10', 'subject_12')"
AdaBoost Regressor,3.5713,16.5342,4.0649,0.069,0.3231,0.3367,0.055,"('subject_1', 'subject_10', 'subject_12')"
Linear Regression,3.6646,17.7116,4.2071,0.003,0.3357,0.3501,0.648,"('subject_1', 'subject_10', 'subject_12')"
Ridge Regression,3.6658,17.7088,4.2068,0.0032,0.3358,0.3505,0.055,"('subject_1', 'subject_10', 'subject_12')"
Least Angle Regression,3.666,17.7284,4.2091,0.0021,0.3358,0.3502,0.043,"('subject_1', 'subject_10', 'subject_12')"
Elastic Net,3.6821,17.9089,4.231,-0.0083,0.339,0.3546,0.05,"('subject_1', 'subject_10', 'subject_12')"
Bayesian Ridge,3.6834,17.913,4.2315,-0.0085,0.339,0.3547,0.047,"('subject_1', 'subject_10', 'subject_12')"
Dummy Regressor,3.6882,17.9369,4.2343,-0.0099,0.3391,0.355,0.04,"('subject_1', 'subject_10', 'subject_12')"
Lasso Regression,3.6892,17.9719,4.2385,-0.0119,0.3395,0.3553,0.044,"('subject_1', 'subject_10', 'subject_12')"
Lasso Least Angle Regression,3.6892,17.9719,4.2385,-0.0119,0.3395,0.3553,0.045,"('subject_1', 'subject_10', 'subject_12')"
Orthogonal Matching Pursuit,3.6916,17.9802,4.2394,-0.0123,0.3396,0.3555,0.039,"('subject_1', 'subject_10', 'subject_12')"
Huber Regressor,3.7127,18.3534,4.2824,-0.0332,0.3436,0.3606,0.049,"('subject_1', 'subject_10', 'subject_12')"
K Neighbors Regressor,3.7675,19.6185,4.4273,-0.105,0.3506,0.3626,0.053,"('subject_1', 'subject_10', 'subject_12')"
Passive Aggressive Regressor,4.4224,28.7474,5.2677,-0.6218,0.3976,0.4215,0.04,"('subject_1', 'subject_10', 'subject_12')"
Decision Tree Regressor,4.4808,31.7455,5.6298,-0.7895,0.4377,0.3997,0.043,"('subject_1', 'subject_10', 'subject_12')"
Random Forest Regressor,3.4373,16.1262,4.0109,0.0988,0.3111,0.314,0.269,"('subject_1', 'subject_10', 'subject_15')"
Light Gradient Boosting Machine,3.4733,17.7221,4.2057,0.0081,0.3246,0.314,0.102,"('subject_1', 'subject_10', 'subject_15')"
Gradient Boosting Regressor,3.4904,16.3709,4.0403,0.0872,0.3158,0.3221,0.18,"('subject_1', 'subject_10', 'subject_15')"
Extra Trees Regressor,3.5655,17.7269,4.2063,0.0096,0.3247,0.3257,0.212,"('subject_1', 'subject_10', 'subject_15')"
AdaBoost Regressor,3.6124,16.9812,4.1152,0.0538,0.3237,0.3351,0.071,"('subject_1', 'subject_10', 'subject_15')"
Linear Regression,3.6453,17.7254,4.2058,0.012,0.3335,0.3461,0.071,"('subject_1', 'subject_10', 'subject_15')"
Ridge Regression,3.6469,17.7237,4.2056,0.0121,0.3336,0.3464,0.071,"('subject_1', 'subject_10', 'subject_15')"
