Feature,Value,Model,Subject
error,0,PassiveAggressiveRegressor(random_state=2024),subject_1
error,0,DecisionTreeRegressor(random_state=2024),subject_1
error,0,GradientBoostingRegressor(random_state=2024),subject_1
error,0,DummyRegressor(),subject_1
error,0,LGBMRegressor(random_state=2024),subject_1
error,0,"ExtraTreesRegressor(n_jobs=-1, random_state=2024)",subject_1
error,0,BayesianRidge(),subject_1
error,0,"RandomForestRegressor(n_jobs=-1, random_state=2024)",subject_1
error,0,AdaBoostRegressor(random_state=2024),subject_1
error,0,OrthogonalMatchingPursuit(),subject_1
error,0,ElasticNet(random_state=2024),subject_1
error,0,Lasso(random_state=2024),subject_1
error,0,LassoLars(random_state=2024),subject_1
error,0,KNeighborsRegressor(n_jobs=-1),subject_1
error,0,Ridge(random_state=2024),subject_1
error,0,HuberRegressor(),subject_1
error,0,LinearRegression(n_jobs=-1),subject_1
error,0,Lars(random_state=2024),subject_1
error,0,"RandomForestRegressor(n_jobs=-1, random_state=2024)",subject_10
error,0,AdaBoostRegressor(random_state=2024),subject_10
error,0,"ExtraTreesRegressor(n_jobs=-1, random_state=2024)",subject_10
error,0,GradientBoostingRegressor(random_state=2024),subject_10
error,0,DecisionTreeRegressor(random_state=2024),subject_10
error,0,LGBMRegressor(random_state=2024),subject_10
error,0,Ridge(random_state=2024),subject_10
error,0,Lars(random_state=2024),subject_10
error,0,LinearRegression(n_jobs=-1),subject_10
error,0,OrthogonalMatchingPursuit(),subject_10
error,0,DummyRegressor(),subject_10
error,0,BayesianRidge(),subject_10
error,0,Lasso(random_state=2024),subject_10
error,0,LassoLars(random_state=2024),subject_10
error,0,ElasticNet(random_state=2024),subject_10
error,0,KNeighborsRegressor(n_jobs=-1),subject_10
error,0,HuberRegressor(),subject_10
error,0,PassiveAggressiveRegressor(random_state=2024),subject_10
error,0,PassiveAggressiveRegressor(random_state=2024),subject_12
error,0,DummyRegressor(),subject_12
error,0,LGBMRegressor(random_state=2024),subject_12
error,0,BayesianRidge(),subject_12
error,0,Lasso(random_state=2024),subject_12
error,0,LassoLars(random_state=2024),subject_12
error,0,ElasticNet(random_state=2024),subject_12
error,0,KNeighborsRegressor(n_jobs=-1),subject_12
error,0,OrthogonalMatchingPursuit(),subject_12
error,0,DecisionTreeRegressor(random_state=2024),subject_12
error,0,"RandomForestRegressor(n_jobs=-1, random_state=2024)",subject_12
error,0,GradientBoostingRegressor(random_state=2024),subject_12
error,0,Ridge(random_state=2024),subject_12
error,0,"ExtraTreesRegressor(n_jobs=-1, random_state=2024)",subject_12
error,0,AdaBoostRegressor(random_state=2024),subject_12
error,0,HuberRegressor(),subject_12
error,0,LinearRegression(n_jobs=-1),subject_12
error,0,Lars(random_state=2024),subject_12
error,0,PassiveAggressiveRegressor(random_state=2024),subject_15
error,0,"ExtraTreesRegressor(n_jobs=-1, random_state=2024)",subject_15
error,0,KNeighborsRegressor(n_jobs=-1),subject_15
error,0,GradientBoostingRegressor(random_state=2024),subject_15
error,0,DummyRegressor(),subject_15
error,0,BayesianRidge(),subject_15
error,0,LGBMRegressor(random_state=2024),subject_15
error,0,"RandomForestRegressor(n_jobs=-1, random_state=2024)",subject_15
error,0,Lasso(random_state=2024),subject_15
error,0,LassoLars(random_state=2024),subject_15
error,0,OrthogonalMatchingPursuit(),subject_15
error,0,ElasticNet(random_state=2024),subject_15
error,0,AdaBoostRegressor(random_state=2024),subject_15
error,0,Ridge(random_state=2024),subject_15
error,0,HuberRegressor(),subject_15
